anime	6645	3776
movie	40184	20706
teleplay	30341	15223
tv	6232	3746
anime	206	106
documentary	418	172
femalestars	342	146
joke	618	232
lovers	11	9
malestars	22	10
movie	1537	808
teleplay	603	345
tv	61	42
vmovie	745	299
mvzhibo	3879	2263
zhibo	2332	1447
